"current_file"
"Iteration" "current etc.."
("Iteration" "current" "max_temperature" "min_temperature")
1 0 1180.3 1060.028259076117
2 16588019.39289275 1063.834172993016 954.0254331685054
3 18369847.8678729 963.2170037451772 865.4713284632306
4 13402912.73910389 1048.712820548909 782.3713630614002
5 8926496.85422042 1071.345849300079 704.1342988848152
6 5833328.269310021 1056.983240318926 633.7208689963337
7 3775078.281299268 1069.313821138152 570.3487847067541
8 2427285.325184499 1065.636174042453 513.3139284165522
9 1548800.783780447 1066.196329435722 498.8064162586524
10 981306.6176224889 1064.751875283574 456.1416703799086
11 618805.556343472 1065.490551068305 435.1466038160774
12 389758.269622003 1064.923311874739 478.6612641976852
13 249309.690894992 1097.760925643694 526.5273906174538
14 166050.0075163302 1095.01291660571 579.1801296791992
15 115485.2889338554 1064.994355738171 637.0981426471192
16 81687.51875683731 1065.022231462156 700.8079569118312
17 58385.53731083928 1065.017754933784 770.8887526030144
18 42193.51492730239 1065.029537420552 847.9776278633159
19 30883.96517920908 1065.031253267293 932.7753906496475
20 22915.33810154161 1065.030849567087 994.9705417816576
21 17233.3918549185 1064.957618958495 995.4078206871585
22 13138.29547359801 1064.853148750063 995.1877602266619
23 10182.71874027744 1064.736943711703 991.8806301477931
24 8081.123055660271 1064.59624381333 991.2831866906811
25 6623.892102543769 1064.459179345862 994.5870013979368
26 5632.818032885833 1064.327994017508 993.6627134109076
27 4965.643931758781 1064.212282619576 993.0463275075442
28 4518.414694303572 1064.114309784964 992.4503286328116
29 4218.062440380197 1064.026595276528 991.6755646768735
30 4013.996209302502 1063.947146981806 991.449291994365
31 3872.17690660475 1063.873858587081 990.6732846030734
32 3770.841033864393 1063.801525803297 989.9044437842066
33 3696.143798904819 1063.731321791084 989.1342809998573
34 3639.92888614606 1063.661725919289 988.3661886176917
35 3597.593680238673 1063.591428801463 987.6206271400096
36 3566.100202743769 1063.524034950481 986.9024127301522
37 3543.158498363711 1063.457722171719 986.2181619304331
38 3526.845181038246 1063.393540286658 985.5659357169114
39 3515.481187221736 1063.331453366877 984.941269952
40 3507.665672222328 1063.271572464315 984.3400355259387
41 3502.293724927608 1063.213880025819 983.7610867277341
42 3498.539592456986 1063.158350387682 983.2007825958052
43 3495.842199599496 1063.10476492773 982.6578667888766
44 3493.830994414458 1063.05353581012 982.1375601699659
45 3492.266443993639 1063.002957858611 981.6167170406967
46 3490.827272751839 1062.954932494192 981.1352498250253
47 3489.360528607249 1062.907449064814 980.6463038034183
48 3487.88632465589 1062.862511324041 980.1902015235593
49 3486.551044603374 1062.817973360346 979.7302233683429
50 3485.451711120648 1062.775033434838 979.2878970204708
51 3484.619930241216 1062.73338903442 978.8623754118951
52 3484.034014245688 1062.693110329804 978.4524391715823
53 3483.629588645036 1062.654253716995 978.0579195336243
54 3483.351913401975 1062.616728854054 977.6778205558279
55 3483.134565481175 1062.580510508226 977.3107971709771
56 3482.933013421651 1062.545534899094 976.9559885970109
57 3482.724662976536 1062.511745953023 976.6127582135422
58 3482.50340678873 1062.479107703948 976.2810123090204
59 3482.269756662678 1062.44756423927 975.9606345606371
60 3482.026124800648 1062.41709706324 975.6511233616083
