"current_file"
"Iteration" "current etc.."
("Iteration" "current" "max_temperature" "min_temperature")
1 0 1180.3 1061.656753294837
2 14539564.81018256 1063.257484575217 955.4910779653535
3 16347042.17238056 956.9317361176953 865.8404485590729
4 12041662.42518034 1026.79715491561 782.6050809181636
5 7941829.927057202 1073.227867108758 704.3447136208686
6 5137742.552898056 1051.896823222194 633.9102422587818
7 3288189.430197254 1068.667318539061 570.5192302385976
8 2083418.037008307 1066.103042386455 513.4673231918151
9 1307748.444972096 1066.236475449738 519.6031344966868
10 812306.7260091827 1064.702797621568 497.2429059860553
11 499985.9872865184 1065.085220374766 486.0259304951022
12 306671.2037069486 1075.450152286346 534.6285235446124
13 191772.6210615196 1112.587931962357 588.0913758990738
14 126397.5609185942 1111.422253892967 646.9005134889812
15 87865.02039037779 1123.441348349381 711.5905648378795
16 62341.05555593914 1065.019513342841 782.7496213216675
17 44822.61245925023 1065.062364142696 861.0245834538343
18 32696.58638519057 1065.089959694141 947.1270417992179
19 24235.0637211882 1065.119447085672 1021.460550862877
20 18246.87471944134 1065.210836623126 1018.46798258341
21 13921.78921414664 1065.06198542275 1018.581428750458
22 10736.92060968044 1064.89812721964 1016.311018914674
23 8388.408707942641 1064.643663242206 1012.688648243072
24 6717.551780479606 1064.343538726773 1013.154898487959
25 5590.848061648592 1064.04658687019 1011.007903552965
26 4851.951554774973 1063.766004542162 1009.470836763055
27 4372.233116828004 1063.50795604134 1008.385282316247
28 4061.906510211574 1063.316536080313 1007.008887325992
29 3859.201219373147 1063.13047594571 1006.119352270737
30 3722.784180001911 1062.960930301377 1004.852218147442
31 3625.527654437698 1062.802293483907 1003.53722134021
32 3551.208071363894 1062.642323011485 1002.149184040089
33 3491.312862824029 1062.482844473094 1000.726845872066
34 3442.648868213881 1062.324380202973 999.3536464034513
35 3404.407894571986 1062.166159586487 998.0163650824296
36 3375.855201963136 1062.010999462913 996.7461134995769
37 3355.666109887615 1061.859940376683 995.5499717700555
38 3342.061993294738 1061.713838135916 994.4157625547066
39 3333.202107646932 1061.573223855726 993.3332267641955
40 3327.50602017043 1061.438059810996 992.2906508570135
41 3323.7757920577 1061.308182697297 991.2820943675194
42 3321.192339082734 1061.185033843496 990.3200918845461
43 3319.24954192173 1061.066113723701 989.4021953281919
44 3317.132910275472 1060.951512682318 988.5088392818197
45 3314.400147159647 1060.840456072593 987.6310337490208
46 3311.273576122881 1060.732764663628 986.7724012500044
47 3308.239774505844 1060.628115467457 985.9382079211819
48 3305.698157318201 1060.526702157361 985.1329502785375
49 3303.866489346145 1060.428626264076 984.3594316928222
50 3302.748422921327 1060.333942151509 983.6173790757156
51 3302.181123816824 1060.24264497581 982.9036963130928
52 3301.935938385282 1060.154679942096 982.2161486304477
53 3301.822230020302 1060.069847003095 981.5523093989465
54 3301.698331755795 1059.988018511144 980.9102633934249
55 3301.490136298308 1059.909029633797 980.2891350891186
56 3301.17858783046 1059.832715332654 979.6880518707059
57 3300.788937094766 1059.758940321447 979.1065830929588
58 3300.363122811148 1059.68765051591 978.5448711772123
59 3299.942969954519 1059.61874138154 978.0023255193414
60 3299.554250883861 1059.552168472535 977.4785930673718
61 3299.202983274253 1059.487850106628 976.972902263979
62 3298.885955977928 1059.425719764647 976.4845535069742
63 3298.598303690695 1059.365722970979 976.0130666514934
