"current_file"
"Iteration" "current etc.."
("Iteration" "current" "max_temperature" "min_temperature")
1 0 1180.3 1063.499187965287
2 11417.30897482119 1062.27 961.7583831329596
3 10967.07484383173 1030.015674553643 870.7529341242342
4 8827.83338545375 1040.367511794963 783.6781502663434
5 4539.268432397846 1050.694011465852 790.3062641056894
6 7833.294621659457 1054.934173781726 869.3368905162583
7 11471.92236841184 1101.933604283329 956.2705795678843
8 13266.64794504072 1099.085840341391 993.4378337833432
9 12447.08007811168 1057.887132880846 994.1726880833121
10 8901.191874800817 1055.430353225054 986.7699206366051
11 6387.03436568628 1053.411047899615 975.9993922980594
12 4694.602341877778 1051.524226602599 964.8555310388682
13 3685.241020921689 1049.677576816192 953.7148483745447
14 3060.337878740633 1047.956393697751 942.7431976031098
15 2784.498010320742 1046.38916400451 931.7273855833411
16 2623.022009539101 1045.058879896083 920.8285708733242
17 2606.10167620868 1043.94950119383 911.3926347105599
18 2674.660074607442 1043.096882205439 904.0574427604333
19 2699.682228737715 1042.414890197207 898.3227689546682
20 2699.560902862093 1041.908320051293 893.7697017891132
21 2686.15121890139 1041.520680118975 890.1777619474294
22 2666.772997121737 1041.229269095951 887.3626175923606
23 2645.758915723622 1041.010004023482 885.1651517393334
24 2625.543813990847 1040.841351671787 883.4541079603121
25 2607.240015737056 1040.714699982554 882.1296474974896
26 2591.278210519148 1040.618218426331 881.1102641216914
27 2577.628826460089 1040.545204668762 880.3263482696794
28 2566.278586909032 1040.490026663944 879.7242671784793
29 2556.999728693463 1040.447944516576 879.2649324527023
30 2549.48639876207 1040.415575282482 878.916474295479
31 2543.471648821153 1040.392169127819 878.6479773579708
32 2538.677643649201 1040.372966856197 878.4456927971654
33 2534.867053888084 1040.359622996982 878.2924570641189
34 2531.866488128209 1040.349707551562 878.1759965526962
35 2529.519328221637 1040.341828481014 878.0882765992815
36 2527.688733609789 1040.335952673227 878.0231012716338
37 2526.263223457257 1040.331684097524 877.9742143698145
38 2525.158895467344 1040.328580216773 877.9372523006443
39 2524.309039777777 1040.326130389371 877.909840445492
40 2523.660401928443 1040.32438180641 877.88927943301
41 2523.168487778891 1040.32307885494 877.8739841978486
42 2522.80028662232 1040.322146178324 877.8626029161375
43 2522.526911005666 1040.321449081184 877.8541419267158
44 2522.326913372563 1040.320911501678 877.847428316216
45 2522.183159434477 1040.320540168537 877.8428175896215
46 2522.083815533343 1040.320253899377 877.8391481576641
47 2522.017097875859 1040.320069254505 877.8366883021849
48 2521.975621116261 1040.319919221353 877.8346882203638
49 2521.951435945675 1040.319833214767 877.8333773662887
50 2521.940288169972 1040.319769516952 877.8324294227838
51 2521.937120960086 1040.31973297148 877.8317346068459
52 2521.938919437181 1040.319704470081 877.8311938427252
53 2521.943717987865 1040.319680144916 877.8307614909443
54 2521.950131406644 1040.319658370656 877.8304102225081
55 2521.957180756166 1040.319640091055 877.8301156829583
56 2521.964212264777 1040.31962316829 877.829865192247
57 2521.970838244825 1040.319607613676 877.8296498777282
58 2521.976847074727 1040.319593219635 877.8294624853545
59 2521.982150639645 1040.319585935505 877.829338961548
60 2521.986738666387 1040.319571975359 877.8291941305438
61 2521.990461693382 1040.319564390977 877.8290880564299
62 2521.993524619812 1040.319551393704 877.8289675882208
63 2521.99590308833 1040.319545759031 877.8288800278482
64 2521.997889718685 1040.319537647526 877.828800960702
65 2521.999437491808 1040.319530856197 877.8287308860492
66 2522.000612951716 1040.319524616615 877.8286673614275
67 2522.001493779886 1040.319518879857 877.8286099754293
68 2522.002155128811 1040.319513805762 877.8285581922735
69 2522.002656923391 1040.319508951019 877.8285131455508
70 2522.003040149531 1040.319505217366 877.8284736023456
71 2522.003356028885 1040.319500023923 877.8284264980932
72 2522.003632344812 1040.31949747726 877.8283958820069
73 2522.003930225641 1040.319494609931 877.8283707451576
74 2522.004213189891 1040.319492523345 877.8283495755395
75 2522.004470485483 1040.319490673985 877.8283311326269
76 2522.004692250154 1040.319489051234 877.828315117172
77 2522.004904541413 1040.319487607746 877.8283008691313
78 2522.005091564385 1040.319486333846 877.8282883755277
79 2522.005263710402 1040.319485199871 877.8282773322437
80 2522.005424095521 1040.319484183794 877.8282675646486
81 2522.005573838704 1040.319483268592 877.8282589097747
82 2522.005713470098 1040.319482447242 877.8282512166309
83 2522.005843390625 1040.319481705845 877.8282443621715
84 2522.005964032764 1040.31948103537 877.8282382390909
85 2522.006075853359 1040.319480427524 877.8282327531909
86 2522.00617933118 1040.319479895981 877.8282280537871
87 2522.006273910767 1040.319478720026 877.8282213612747
88 2522.006354201476 1040.319478640689 877.8282173524822
89 2522.006439398744 1040.319478127508 877.8282136899136
90 2522.006523306147 1040.319477775307 877.828211196972
91 2522.006596689057 1040.31947752236 877.8282086897032
92 2522.006664529102 1040.319477229956 877.8282061426174
93 2522.0067274037 1040.319476988285 877.828203797402
94 2522.00678522914 1040.319476746474 877.828201634638
95 2522.006838112049 1040.319476520189 877.8281996233167
96 2522.006886084097 1040.31947611242 877.8281968070128
97 2522.006929251608 1040.319475961249 877.8281951247581
98 2522.006969864602 1040.319475798831 877.828193676161
99 2522.007007547832 1040.319475641737 877.8281922959561
100 2522.00704179054 1040.319475501484 877.8281910374328
101 2522.007072227108 1040.319475364177 877.8281898762618
102 2522.007098949368 1040.319475127975 877.8281883037356
103 2522.007122213528 1040.31947503283 877.828187324101
104 2522.007143374448 1040.319474938318 877.8281864648445
105 2522.00716244131 1040.319474842539 877.8281856534915
106 2522.00717936369 1040.319474756383 877.8281849264671
107 2522.007194126549 1040.319474609835 877.8281839816971
108 2522.007206889427 1040.319474550366 877.8281833736672
109 2522.007218378857 1040.319474490366 877.8281828428817
110 2522.007228651758 1040.31947443123 877.8281823442638
