"current_file"
"Iteration" "current etc.."
("Iteration" "current" "max_temperature" "min_temperature")
1 0 1180.3 1058.863759315056
2 12959239.95719428 1062.27 952.9773833835505
3 14698661.12648602 976.1675665624288 866.1203525907893
4 11565380.90682067 1056.79291003965 782.3097161386795
5 8076956.790079394 1117.559386128912 704.0787445248116
6 5279096.42213349 1089.896696610537 633.6708700723304
7 3304994.503718806 1081.99054181594 570.3037830650974
8 1956162.516596079 1134.812203546727 513.2735020724352
9 1043835.962723886 1169.411213478556 564.6008522796789
10 661822.1662092489 1183.815618426756 554.7903113574131
11 565504.4403271044 1185.926591692244 516.618398192886
12 503355.6548700509 1180.74253557332 568.2802380121747
13 422178.9427201197 1212.391671381648 625.1082618133922
14 341725.1454550856 1215.054825884584 687.6190879947316
15 250760.2486461137 1214.100541292482 756.3809967942047
16 182926.0568495099 1195.989868524962 832.0190964736253
17 133759.2843033819 1180.406113220342 915.2210061209879
18 98895.55794513121 1177.395965219004 1006.743106733087
19 72684.48625761856 1173.087457087507 1078.442101621443
20 52746.22795260324 1179.122360241822 1077.975202955849
21 37470.85460838103 1171.033772726151 1077.487447095559
22 26389.87131397314 1139.706062815822 1077.055551362549
23 18477.20357207905 1132.053513134179 1076.642888023825
24 12921.9460541323 1127.472572947127 1076.267834724971
25 9092.690295685064 1122.196122784023 1075.891025131942
26 6506.904188464223 1118.09804617087 1075.521615490646
27 4787.791402146391 1111.153280138819 1075.170449198552
28 3675.651484060944 1106.550250091706 1074.825551017942
29 3038.473030814077 1102.589289269566 1074.489982112901
30 2782.901060903471 1098.337421017012 1074.164698293933
31 2798.551081602631 1094.402885095813 1073.849646734226
32 2932.95967168456 1090.405442529725 1073.546182119624
33 3105.605267802402 1086.67075341117 1073.251420007125
34 3232.725345787662 1083.148695566587 1072.788532187344
35 3319.991467616631 1079.680033645238 1072.032902074927
36 3379.617049912522 1076.302449130083 1069.606687075653
37 3420.360848377359 1073.016068440566 1067.049466506455
38 3448.439795512172 1071.890816017809 1064.535214315739
39 3468.063045862539 1071.647505957752 1062.06228673495
40 3481.714676786124 1071.408193175346 1059.634512749025
41 3491.184156836207 1071.176341842832 1057.248535167505
42 3497.475341182131 1070.951435087496 1054.907661926028
43 3501.519044373173 1070.733003493564 1052.609352905903
44 3503.922519218226 1070.52159696005 1050.35723058183
45 3505.120238893533 1070.316131252578 1048.148474338829
46 3505.297692210668 1070.116714269891 1045.981265511278
47 3504.75183552891 1069.922907739355 1043.853352352308
48 3503.79585179977 1069.734777096614 1041.767073551522
49 3502.774297044319 1069.552242011345 1039.72194323168
50 3501.77947180607 1069.375347826598 1037.721143665854
51 3500.825291257719 1069.203444700956 1035.761358187477
52 3499.779945698365 1069.036596657387 1033.839341462044
53 3498.633572666255 1068.874703851522 1031.955142173138
54 3497.485180733583 1068.717563797132 1030.112698711156
55 3496.384688151967 1068.565104353044 1028.312361580595
56 3495.337259793102 1068.417232820073 1026.554721230924
57 3494.309638727153 1068.273638025791 1024.837660809556
58 3493.224265719598 1068.134295226369 1023.160634238924
59 3492.088609145291 1067.998943384381 1021.522936518944
60 3490.956429636323 1067.867706451676 1019.927882534714
61 3489.918997512132 1067.740296879149 1018.373970880661
62 3488.940130502797 1067.616657015648 1016.861796788121
63 3487.998137651133 1067.496679465816 1015.389407489868
64 3487.079195581179 1067.380195306787 1013.958000054753
65 3486.186634860635 1067.267179571158 1012.566993380658
66 3485.319734356081 1067.157504332676 1011.216059524014
67 3484.479786663115 1067.051055756838 1009.905236690744
68 3483.667067320001 1066.947751388963 1008.63334150758
69 3482.880269180995 1066.847495086812 1007.39923487223
70 3482.116950568055 1066.750193327992 1006.201789997916
71 3481.374527523698 1066.655770191924 1005.039905620843
72 3480.650933011652 1066.564130846128 1003.9125102974
73 3479.944981650116 1066.475198030201 1002.818567851887
74 3479.256279777513 1066.38889217733 1001.757076763128
75 3478.584844679736 1066.305123405709 1000.727067697572
76 3477.930958868419 1066.223836678405 999.7276303673693
77 3477.294629526024 1066.14494005594 998.7578550379739
78 3476.674793658407 1066.068374995587 997.8168373623455
79 3476.071513607697 1065.99406983329 996.9037244631287
80 3475.484896173951 1065.921955097693 996.0176869465556
81 3474.914843258534 1065.851968750198 995.1579245164004
82 3474.361009405041 1065.784049825176 994.3236571996237
83 3473.822778174311 1065.718132122832 993.5141233056211
84 3473.299517917149 1065.654166038029 992.7285863746258
85 3472.79068027522 1065.592082282413 991.9663296893696
86 3472.295731596081 1065.531830954867 991.2266598143426
87 3471.814376053634 1065.47336234196 990.5089099551693
88 3471.346260021367 1065.416617300449 989.8124265423919
89 3470.891034354283 1065.361548304038 989.1365778228837
90 3470.448399956291 1065.308104131239 988.4807515107146
91 3470.018001672424 1065.256237866513 987.8443501609971
92 3469.599559368126 1065.205902507042 987.2267961383324
93 3469.192824552802 1065.157053049405 986.6275302238028
94 3468.797537808204 1065.109644975007 986.0460115192438
95 3468.413364318702 1065.063637056822 985.4817095150581
96 3468.040005800964 1065.018986941034 984.9341153639079
97 3467.677173793033 1064.97565495726 984.4027336424916
98 3467.324556064923 1064.933602510945 983.8870837116981
99 3466.981874838374 1064.892792205318 983.3866982511134
100 3466.648839060541 1064.853186083761 982.9011237861656
101 3466.325190683895 1064.814746681992 982.4299151293831
102 3466.010687180894 1064.77744598558 981.9726605159356
103 3465.705060813878 1064.741244732 981.5289409304487
104 3465.408080063512 1064.706115728217 981.0983498876528
105 3465.119559332486 1064.672018849316 980.6804967894097
106 3464.839314380777 1064.638926909772 980.2750025961058
107 3464.567120815864 1064.606811324825 979.8814964214384
108 3464.302710623538 1064.575646666908 979.4996258448311
109 3464.045834206438 1064.545401578439 979.1290491919082
110 3463.796263620358 1064.516049640466 978.7694349687524
111 3463.553744203789 1064.487564425691 978.4204559110038
112 3463.318120161573 1064.459920262905 978.0817982474763
113 3463.089240835405 1064.433092300091 977.753157275401
114 3462.866959349426 1064.407056534034 977.4342371690639
115 3462.65108449841 1064.381789481832 977.1247498245673
116 3462.441429093573 1064.357268493175 976.8244156798581
117 3462.237806373411 1064.333471531984 976.5329635353983
118 3462.040043034305 1064.310378912778 976.2501440025129
119 3461.847970791162 1064.287966261404 975.975690883594
120 3461.660673302709 1064.266216013284 975.7093413758522
121 3461.478274145748 1064.245108502221 975.4508584236595
122 3461.301157103884 1064.224623321982 975.2000162343597
123 3461.129531405344 1064.204743113831 974.9565934794285
124 3460.963338096093 1064.185449860665 974.7203716991839
125 3460.802341178416 1064.166726377338 974.4911368207249
126 3460.646222742719 1064.148555793485 974.2686805578835
127 3460.494680734269 1064.130921782599 974.0528008891732
128 3460.347474509714 1064.113808483645 973.8433023451171
129 3460.204437598459 1064.097200476263 973.6399958274485
130 3460.065462563567 1064.081082900251 973.4426985313631
131 3459.930462886237 1064.06544120158 973.2512325816402
132 3459.799358019381 1064.050261365777 973.0654261869885
133 3459.672066022094 1064.035529754592 972.885111858537
134 3459.548489148226 1064.021233139058 972.7101272149623
135 3459.428519266872 1064.007358693583 972.5403142112283
136 3459.312068169883 1063.993893928744 972.3755206207592
137 3459.199012839234 1063.9808267656 972.2155975359771
138 3459.089242028043 1063.968145455114 972.0604006638021
139 3458.982657014391 1063.955838604785 971.9097901855442
140 3458.879169595591 1063.94389516667 971.7636305823549
141 3458.778688702063 1063.932304390916 971.6217902307558
142 3458.681131327429 1063.921055258412 971.4841417589768
143 3458.586397184828 1063.910139355453 971.3505607382374
144 3458.494430342899 1063.89954523599 971.2209271646145
145 3458.405162015001 1063.889264149488 971.0951243289956
146 3458.318514631558 1063.879286586205 970.9730389618901
147 3458.234405962461 1063.869603668943 970.8545610976863
148 3458.15275709476 1063.860206672263 970.7395839986472
149 3458.073492463749 1063.851087162572 970.6280041130984
150 3457.996541918863 1063.842236942764 970.5197209989626
151 3457.921838832018 1063.833648062416 970.4146372128184
152 3457.849320528697 1063.825312804003 970.3126581995225
153 3457.778923958709 1063.817223679283 970.2136921965933
154 3457.710589293676 1063.809373704421 970.1176501777787
155 3457.644255954887 1063.801755123593 970.0244456982222
156 3457.579866255963 1063.794361717814 969.9339948953466
157 3457.517363623281 1063.787186559596 969.846216385178
158 3457.456692428197 1063.780223299362 969.7610311735629
159 3457.397798791326 1063.773465652526 969.6783626023666
160 3457.340631663414 1063.76690755667 969.5981362855033
161 3457.285140147331 1063.760543116014 969.5202800395621
162 3457.231276150777 1063.754366602437 969.4447238127613
163 3457.178994930468 1063.748372493054 969.3713996645272
164 3457.128248887786 1063.74255538179 969.3002416303869
165 3457.078991143736 1063.736910049736 969.2311856805728
166 3457.031176943332 1063.73143142151 969.1641696794561
167 3456.984765025686 1063.726114575525 969.0991333377913
168 3456.939714589001 1063.720954734928 969.0360181615938
169 3456.895987108436 1063.715947274759 968.9747673881913
170 3456.853538729421 1063.711087671028 968.915325895722
171 3456.812335534576 1063.706371571039 968.8576402237264
172 3456.772344457511 1063.701794736741 968.801658527959
173 3456.733531938962 1063.697353056133 968.7473304824094
174 3456.69586339637 1063.693042533052 968.6946072633074
175 3456.659304045024 1063.688859378017 968.6434445399951
176 3456.623757814997 1063.684799736291 968.5937927255537
177 3456.589214676067 1063.680860020644 968.5456065321374
178 3456.555678746215 1063.677036638479 968.498843213937
179 3456.523152774083 1063.673326167012 968.4534609696318
180 3456.491625738238 1063.669725272902 968.4094191261132
181 3456.461067880275 1063.666230717849 968.3666782327564
182 3456.431437021673 1063.662839358609 968.3251999093127
183 3456.402688625113 1063.659548145435 968.284946793186
184 3456.374782171458 1063.656354119192 968.2458825897633
185 3456.347685182009 1063.653254408247 968.2079721107
186 3456.321372734167 1063.650246226458 968.171181258922
187 3456.295824992989 1063.647326871126 968.1354769806734
188 3456.271024232084 1063.644493719835 968.1008272110529
189 3456.246952722438 1063.641744227887 968.0672008258546
190 3456.223591554873 1063.639075925866 968.0345676070611
