"current_file"
"Iteration" "current etc.."
("Iteration" "current" "max_temperature" "min_temperature")
1 0 1180.3 1060.094031952391
2 15704293.28883322 1062.774256607362 954.084628757152
3 17340974.53362749 970.3777277817773 866.8537909870614
4 13034064.60945132 1050.576407328601 782.3763156157363
5 9165266.95171313 1102.076456775099 704.1387514766274
6 5965812.731276179 1068.669482249652 633.7248763289647
7 3656446.060374991 1076.697281929725 570.3524235809668
8 2010671.319829668 1119.241250550357 518.342685847775
9 847756.1124731137 1161.140921077799 507.8303395037312
10 384200.4850872806 1215.90325761744 458.9811607563155
11 714730.46840718 1216.882270024274 501.8702830332687
12 1026319.64564429 1255.827299096114 552.0573113365956
13 1212283.222374633 1322.080003667022 607.2630424702552
14 1271473.109197008 1332.419073301934 667.9893467172808
15 1126381.918162211 1316.879899085427 734.7882813890089
16 831387.0455760391 1256.737210914788 808.26710952791
17 573832.2140765719 1175.364748299507 889.093820480701
18 404378.6417784405 1273.49260074736 911.7701127321013
19 299526.3657395254 1210.894994544894 930.0776677373241
20 228501.200692151 1180.500103044464 981.213405576509
21 176175.8904279819 1190.504165942046 1076.204029521519
22 135459.3891069041 1209.751601396202 1081.124454175968
23 102711.9281578255 1221.115228373132 1080.393925937875
24 76750.1793493877 1192.584420321644 1079.888086600153
25 56183.4258176169 1152.230346203966 1079.176821393775
26 39392.51351128773 1142.396048302638 1078.465375547853
27 27277.12614150138 1135.761958082148 1077.896976721855
28 18714.45137957594 1132.904435255386 1077.33513208145
29 12766.98418121217 1129.480486850027 1076.833187629847
30 8724.915984884612 1119.981389420635 1076.336846682311
31 6045.968624745056 1115.305872665376 1075.857233277476
32 4332.111160311199 1110.28834929206 1075.393475404756
33 3323.736708684849 1105.226078700234 1074.93678010185
34 2791.116611845019 1099.983242388281 1074.466517127714
35 2572.510152371327 1093.553556357389 1073.788842302717
36 2580.678143709324 1088.798797893894 1073.541151756678
37 2737.248726170813 1084.469343172842 1072.933522062589
38 2962.505856192384 1080.236650227753 1072.043978838454
39 3134.855826072908 1076.274122067665 1069.47625426635
40 3259.348750295654 1071.767548285088 1065.738532290738
41 3347.473868250265 1071.289636760368 1062.163549126673
42 3407.737472700025 1071.040818418565 1059.334976078545
43 3447.564541428015 1070.673464247287 1056.533807827406
44 3473.535156325775 1070.358669174123 1053.768201102934
45 3490.287597129099 1070.047763483263 1051.05120625987
46 3501.166210958377 1069.747410167422 1048.38553178534
47 3508.326906865066 1069.457226352001 1045.775508324909
48 3513.09395501251 1069.177229372807 1043.22258093472
49 3516.23860603265 1068.906593944722 1040.725849949016
50 3518.189458605774 1068.645937556773 1038.28850190324
51 3519.235571872914 1068.394603114838 1035.911867486244
52 3519.613711270623 1068.156795356781 1033.647556167139
53 3519.491114751112 1067.926747082036 1031.444733164947
54 3519.029755457459 1067.705630255677 1029.301429000215
55 3518.339690907014 1067.492325828409 1027.214716393249
56 3517.508037229571 1067.286570947601 1025.183918043602
57 3516.592432254247 1067.088060299426 1023.209244621841
58 3515.633475155521 1066.89294063936 1021.223148905134
59 3514.645025036798 1066.704872401182 1019.30143196404
60 3513.62058668332 1066.522938105751 1017.443334724566
61 3512.589509198065 1066.34719615128 1015.647146674904
62 3511.564035665304 1066.177588688521 1013.911996442426
63 3510.560751115594 1066.013916518521 1012.23438422065
64 3509.591040187067 1065.856011667564 1010.617201572759
65 3508.659587900307 1065.703829289786 1009.058050928892
66 3507.765174285747 1065.557016718448 1007.555540783872
67 3506.904719295202 1065.415398953251 1006.107181803421
68 3506.072544937862 1065.278782566376 1004.710251347549
69 3505.257414269458 1065.147015631166 1003.363421090031
70 3504.466731396402 1065.019919551236 1002.064516302985
71 3503.695622797119 1064.897314950343 1000.811764186934
72 3502.945431228725 1064.779058965188 999.6035891025442
73 3502.218848462496 1064.664989566427 998.4383453858086
74 3501.51789085383 1064.55496260893 997.3147369954148
75 3500.842417850215 1064.448834924072 996.2311250722053
76 3500.191312640842 1064.346479754108 995.186094229299
77 3499.56283624272 1064.247726474313 994.1782615084178
78 3498.955245375722 1064.152499695497 993.206281679629
79 3498.367170330468 1064.060636128749 992.2688114808604
80 3497.797563516732 1063.972029583364 991.3647646016735
81 3497.246075620251 1063.886563563435 990.4928279131202
82 3496.712887292883 1063.804102119847 989.6519861432976
83 3496.197558637034 1063.724595325893 988.8409388326927
84 3495.695743446619 1063.647914264967 988.0586727138316
85 3495.211914785429 1063.573928889155 987.3043776539763
86 3494.746667795666 1063.502580323919 986.5767596803312
87 3494.295300904553 1063.433750719129 985.8750671470798
88 3493.86069971086 1063.367360573234 985.1982738662023
89 3493.439088342522 1063.303327320473 984.5456078631209
90 3493.033600387825 1063.241555151093 983.9158194218377
91 3492.640850241154 1063.181983898146 983.3085874406838
92 3492.262935020454 1063.124507881335 982.7228719401355
93 3491.896555275649 1063.069077840638 982.1580775160552
94 3491.543808283497 1063.015603659122 981.61327066042
95 3491.201477246439 1062.96403202977 981.08790298837
96 3490.871797658633 1062.914280894776 980.5811058997639
97 3490.552276113346 1062.866300007742 980.0923470473689
98 3490.245312195965 1062.820013380382 979.6209275882152
99 3489.948087149571 1062.775368973204 979.1664698226613
100 3489.662097303004 1062.732307009125 978.7280197147498
101 3489.384811166378 1062.69077676261 978.3051777675084
102 3489.117733610227 1062.650715110763 977.8972565437409
103 3488.858735681638 1062.612078183383 977.5038459440245
104 3488.609451915783 1062.574805586112 977.1243439784723
105 3488.36789328416 1062.538858820907 976.7584003708375
106 3488.135551992794 1062.504181570199 976.4053751079681
107 3487.910474342767 1062.470737954806 976.064932718542
108 3487.693963011011 1062.438475259795 975.7365148209504
109 3487.484213022273 1062.407360110672 975.4198024110789
110 3487.282309037362 1062.377343644427 975.1142736085039
111 3487.086674249587 1062.348392087373 974.8196259840764
112 3486.898163889001 1062.320466225108 974.5354057589128
113 3486.715481776981 1062.293532374755 974.2613067212973
114 3486.539861647908 1062.267550058345 973.996864588387
115 3486.370071673753 1062.242491967088 973.7418610634613
116 3486.207150671275 1062.218319088239 973.4958813662682
117 3486.049498256991 1062.195005967835 973.258646808952
118 3485.897826298273 1062.172516097596 973.0298090462426
119 3485.750868880197 1062.150826313995 972.8091226295818
120 3485.609412131499 1062.129902520838 972.5962116545094
121 3485.472281508381 1062.109723108924 972.3909359063214
122 3485.340310927596 1062.090256831827 972.1928741971392
123 3485.212463410866 1062.071482202384 972.0018484053222
124 3485.089498920174 1062.053370781701 971.8176022373365
125 3484.970415398642 1062.035903843901 971.6399114765452
126 3484.855916346401 1062.019053513527 971.4685076093564
127 3484.74504671761 1062.002803170509 971.3031889987913
128 3484.638442293706 1061.987125821786 971.1437243415094
129 3484.535211704584 1061.972006990699 970.9899437043896
130 3484.435954341167 1061.957422916535 970.8415878123409
131 3484.339850331576 1061.943355958028 970.6984939879673
132 3484.247445794252 1061.929786203798 970.5604593952783
133 3484.157962664613 1061.916698861988 970.4273315956366
134 3484.071904918598 1061.904073512677 970.2989283244544
135 3483.988564662542 1061.891897547115 970.1750984949141
136 3483.908431606375 1061.880151762468 970.0556360010804
137 3483.830846684738 1061.868823430426 969.9404102241754
138 3483.756251290494 1061.857895088666 969.8292654544168
139 3483.684023372768 1061.847355389861 969.722059937537
140 3483.614581118368 1061.837187531904 969.6186467611548
141 3483.5473308614 1061.827381101689 969.5189089709495
142 3483.482661414107 1061.817921188887 969.4227156282413
143 3483.420048364339 1061.80879800863 969.3299468864897
144 3483.359861109432 1061.799997199163 969.2404488910851
145 3483.301600925921 1061.79150934087 969.1541368170572
146 3483.245594151122 1061.783321336127 969.0708715973021
147 3483.191374992261 1061.775424490015 968.9905654110547
148 3483.139248328189 1061.76780657555 968.9131003107344
149 3483.088781619179 1061.760459517628 968.8383915607603
150 3483.040261012302 1061.753371992334 968.7663182379653
151 3482.993291635734 1061.746536456522 968.6968112386542
152 3482.948135573522 1061.739942376862 968.6297565375388
153 3482.904422587102 1061.733582720279 968.5650896664183
154 3482.86239686441 1061.727447713745 968.5027097154187
155 3482.821459346551 1061.721531006345 968.442544063126
156 3482.782221837299 1061.715823101733 968.3845084445666
157 3482.744156195905 1061.710318301852 968.3285292714922
158 3482.707760478177 1061.70500795046 968.2745346537178
159 3482.672473117827 1061.699886343646 968.2224543576749
160 3482.638711047129 1061.694945726481 968.1722200190391
161 3482.605926609846 1061.690180712854 968.1237732465844
162 3482.57432662905 1061.685584056258 968.0770281731169
163 3482.543889774097 1061.681150722711 968.0319479004628
164 3482.514552395672 1061.676873858058 967.9884636024636
165 3482.486089274861 1061.672749186477 967.9465230284726
166 3482.458850313469 1061.668770183369 967.9060599506853
167 3482.432568484739 1061.664932520171 967.8670476442396
168 3482.407186723451 1061.661230698793 967.8294094650093
169 3482.382535373571 1061.657660315902 967.7931099211589
170 3482.35879501376 1061.654216128264 967.7580899260799
171 3482.335819126317 1061.650894352511 967.7243162781232
172 3482.31376691831 1061.647689925984 967.6917341270001
173 3482.292462829351 1061.644599406854 967.6603101221568
174 3482.272015507544 1061.641618056991 967.6299980942968
175 3482.252237936676 1061.638742690594 967.6007646919084
176 3482.233226703355 1061.635968895413 967.5725624085926
177 3482.214815273313 1061.63329370342 967.5453621855291
178 3482.197104946591 1061.630712992826 967.5191240957806
179 3482.179951859598 1061.628224020412 967.4938194152604
180 3482.163457388858 1061.625822967044 967.4694055352605
181 3482.147489453714 1061.623507251718 967.4458632211127
182 3482.132140406152 1061.621273338191 967.4231492438197
183 3482.117285125094 1061.619118827711 967.4012460851617
184 3482.103007030057 1061.617040430072 967.380115003396
185 3482.089187927732 1061.615035917908 967.3597360822313
186 3482.075904773921 1061.613102212772 967.3400746215897
187 3482.063047374438 1061.611237236837 967.3211150659349
188 3482.050687481585 1061.609438144126 967.3028238294909
189 3482.038723306141 1061.60770300647 967.2851836640305
190 3482.027222227131 1061.606029159676 967.2681645344895
191 3482.016089426398 1061.604414805093 967.2517529791475
192 3482.005592001916 1061.602857479817 967.2359199263225
193 3481.995190520669 1061.601355513066 967.2206493979955
194 3481.985377706108 1061.599906596272 967.2059190234386
195 3481.975866621774 1061.598509160682 967.1917106208429
196 3481.966684877778 1061.597161058448 967.178005229924
197 3481.957770600979 1061.59586092195 967.1647882197453
198 3481.949177585858 1061.594606717134 967.1520372517596
199 3481.940848470395 1061.593397098853 967.1397401196365
200 3481.932828689699 1061.592230212351 967.1278766981752
201 3481.925061800202 1061.59110480534 967.1164355817939
202 3481.917587869855 1061.597534418933 967.1128427378438
203 3481.910352780401 1061.596586986076 967.1134067021682
204 3481.917671265333 1061.598112190285 967.1167726408885
205 3481.933442786658 1061.598835176625 967.1217446954374
206 3481.950540556978 1061.599629644792 967.1275202012731
207 3481.964450569498 1061.60033238905 967.1336276943035
208 3481.973487359988 1061.601000256525 967.1397972882411
209 3481.977741412299 1061.601633616617 967.145887905406
210 3481.979019727329 1061.602238717452 967.1518379827548
211 3481.979076314092 1061.602818107292 967.1576221563158
212 3481.979389492888 1061.603376798859 967.1632355462312
213 3481.980621495515 1061.603914235505 967.1686748797091
214 3481.982958414593 1061.604432643529 967.1739367055852
215 3481.98619862368 1061.604932765699 967.1790224453448
216 3481.989952335073 1061.605415378861 967.1839319894269
217 3481.993826215661 1061.605881049717 967.1886685805848
218 3481.997537783517 1061.60633030624 967.1932362515538
219 3482.000947543386 1061.606763656025 967.1976404132619
220 3482.00403532254 1061.607181613137 967.2018871392939
221 3482.006853010725 1061.607584702273 967.2059829300634
222 3482.009477344337 1061.607973452681 967.2099330580136
223 3482.011977130742 1061.608348383872 967.2137435904892
224 3482.014397857884 1061.608710003665 967.2174195528659
225 3482.016760780008 1061.609058799854 967.2209656680365
226 3482.019069193042 1061.609395237533 967.2243866391533
227 3482.021317173168 1061.609719760376 967.2276861777041
