"current_file"
"Iteration" "current etc.."
("Iteration" "current" "max_temperature" "min_temperature")
1 0 1180.3 1059.716211793994
2 10909287.54269764 1067.279298091575 953.7445906145942
3 12703785.8936067 969.764816928645 866.5141672026508
4 9656750.728981411 1062.288919836015 782.3197288567058
5 6305203.509411725 1067.780911387548 704.0877559710352
6 4019743.021029353 1065.313269908145 633.6789803739317
7 2526622.959489534 1068.410358361153 570.3110823365386
8 1566037.294371206 1066.930712348868 513.2799741028847
9 955344.8300766642 1066.508750752679 510.4755022679103
10 572583.6244666845 1065.626268817028 459.4279520411192
11 337714.5456397703 1066.236708698465 420.3526715192562
12 198987.9873408934 1065.661978316085 462.3879386711819
13 121579.4926667484 1081.179562466613 508.6267325383001
14 76663.8652657225 1065.658296815998 559.4894057921301
15 51904.5449133587 1065.600422456556 615.4383463713432
16 36937.88053603641 1065.57867982996 676.9821810084776
17 26896.09386336249 1065.574480509311 744.6803991093254
18 20047.09702420088 1065.554157574155 819.148439020258
19 15315.10399882465 1065.424100278411 901.0632829222839
20 11983.54079044523 1065.301565098797 991.1696112145123
21 9571.176872636594 1065.242272245651 999.2523844217951
22 7770.957157145138 1065.147015714316 1001.290017743103
23 6404.486461806562 1065.050699795155 996.9459614223766
24 5383.407944239313 1064.941463202322 996.1166417433076
25 4657.46423120204 1064.831242616821 997.1359478736194
26 4172.924990538495 1064.724687592798 997.7410346205494
27 3867.409831642659 1064.629831946848 997.1563729809126
28 3681.969797194805 1064.547588209502 996.7005475130534
29 3571.269426956406 1064.475998605488 996.0753036114937
30 3502.889700518097 1064.411866659951 995.7022827797678
31 3455.774350889885 1064.351449473078 995.2468856265369
32 3417.967981032533 1064.292725150914 994.6379524026888
33 3384.399112331062 1064.234867082684 994.0027393736189
34 3354.340904262571 1064.175880775414 993.3513112242154
35 3328.724907058363 1064.117419652067 992.723163866345
36 3308.65395256302 1064.059243211094 992.1091304676805
37 3294.389445956889 1064.002167355156 991.5329847470789
38 3285.211280036279 1063.946855071511 990.990613813714
39 3279.835510131537 1063.893433018943 990.474969554828
40 3276.889087462479 1063.842705043301 989.9859846761137
41 3275.225127745635 1063.793448012229 989.5168871590432
42 3273.85723572033 1063.746484949026 989.0620142449521
43 3272.201671615719 1063.700566147555 988.6095888486225
44 3270.072985065212 1063.655967292346 988.1627804271758
45 3267.746900666272 1063.613115421563 987.7277032072504
46 3265.56151059761 1063.57088273347 987.3047821022815
47 3263.676474808738 1063.529922771539 986.8928854429919
48 3262.169415047444 1063.490152416081 986.4956854919067
49 3261.088955741823 1063.451509824216 986.1120526558709
50 3260.335377916674 1063.414065155094 985.7408691037434
51 3259.795807594949 1063.37773188596 985.3810854751533
52 3259.378659894306 1063.342567038816 985.0327435704099
53 3259.021842018716 1063.308369017077 984.6937018506476
54 3258.66340613382 1063.275300746793 984.3646908257818
55 3258.31640296649 1063.243155298993 984.0451315800187
56 3257.975155473506 1063.211976490687 983.7347315112748
57 3257.647158470309 1063.18170822868 983.4333373330869
58 3257.344063842182 1063.152361238563 983.1412010748805
59 3257.07656700968 1063.123855077861 982.8577936137639
60 3256.831455780937 1063.096200439159 982.5827049285269
61 3256.604930053194 1063.069359816685 982.315681670156
62 3256.397635389195 1063.04333180137 982.0567632273421
63 3256.210491097614 1063.01805902035 981.8055328956737
64 3256.035179333646 1062.993541132406 981.561665532599
65 3255.868864979506 1062.969759296633 981.3251186404436
66 3255.712265425918 1062.94666882167 981.0954930389804
67 3255.561306177054 1062.924266498774 980.8725938056865
68 3255.416215965329 1062.90252377671 980.6562435618932
69 3255.279212994222 1062.881432798187 980.4464128190967
70 3255.152026184494 1062.860959066712 980.2428190120418
71 3255.031055579094 1062.841100567859 980.0453283569707
72 3254.915066304713 1062.821823889795 979.8536535732117
73 3254.801344804674 1062.80311980282 979.6675905579482
74 3254.690539468515 1062.784972178215 979.487077334631
75 3254.584627890894 1062.7673579234 979.3118955301017
76 3254.482776442114 1062.750266036696 979.141872820784
77 3254.385412405815 1062.733683762516 978.976978063737
78 3254.29327460685 1062.71758913564 978.8169578550309
79 3254.204768762705 1062.701973675924 978.6616514576276
80 3254.119568098386 1062.686822228854 978.5109820547024
81 3254.037973901211 1062.672117505162 978.3647634417916
82 3253.958733937455 1062.657848543258 978.2228505627301
83 3253.881835317576 1062.644003904221 978.0851704267795
84 3253.807815197064 1062.63056730585 977.9515573199424
85 3253.735886627899 1062.617528742845 977.8218833183716
86 3253.666204102924 1062.60487570741 977.6960404784007
87 3253.599199053322 1062.592598895035 977.5739599894147
88 3253.535131734773 1062.58068424716 977.4554919414438
89 3253.473007591722 1062.569122608071 977.3405191708836
90 3253.41261417022 1062.55790293768 977.2289432248299
91 3253.354156223346 1062.547016708379 977.1206981620523
92 3253.297847161964 1062.536451737743 977.0156527345108
93 3253.242983216697 1062.526199364062 976.9137056197578
94 3253.189537315325 1062.516250557885 976.8147704739085
95 3253.13778505964 1062.506595964838 976.7187638529099
96 3253.087954346071 1062.497227154482 976.6256027011805
97 3253.040094967825 1062.488136717066 976.5352257387352
98 3252.994068508384 1062.479313766623 976.4475006836901
99 3252.949099494958 1062.470753742877 976.3623893557032
100 3252.90557475185 1062.462446237817 976.2797964950872
101 3252.863115076135 1062.454384852008 976.1996425480863
102 3252.821687624556 1062.44656191668 976.1218579677786
103 3252.781444235984 1062.438970488077 976.0463756566663
104 3252.742528319086 1062.431603729008 975.9731292306451
105 3252.704980869024 1062.424454997249 975.9020532819044
106 3252.668753746924 1062.417517901708 975.8330834224319
107 3252.633741924223 1062.410786856495 975.7661717122128
108 3252.599827447761 1062.404254002811 975.7012221843693
109 3252.566541581021 1062.397915637362 975.638206200828
110 3252.534230714845 1062.391764290511 975.5770539672362
111 3252.50271305841 1062.385794537866 975.517694996708
112 3252.472011225289 1062.380002309039 975.4601080334448
113 3252.442558196037 1062.374381079507 975.4042285227142
114 3252.414075861743 1062.368926368207 975.3500015898193
115 3252.386405401492 1062.363633081472 975.297378577407
116 3252.359517410531 1062.358496466156 975.2463128075858
117 3252.333423847095 1062.353511881925 975.1967587683876
118 3252.308132556876 1062.348674836251 975.1486720582744
119 3252.283632139131 1062.343980967423 975.1020093588533
120 3252.259893623813 1062.339426039705 975.0567284745019
121 3252.236879122679 1062.335006045075 975.0127906969049
122 3252.214383364568 1062.330716831722 974.9701535552495
123 3252.192436364985 1062.326554576868 974.9287774885069
124 3252.171119296186 1062.322515553749 974.888625547992
125 3252.15049637604 1062.318596103408 974.8496619955577
126 3252.13059029548 1062.314792692659 974.8118521124569
127 3252.111377460516 1062.311101876738 974.7751620379647
128 3252.092804991773 1062.307520314889 974.7395586208456
129 3252.074810477485 1062.304044768548 974.7050095001083
130 3252.057337719999 1062.30067209483 974.6714832405262
131 3252.040346824357 1062.297399243191 974.6389494032978
132 3252.023816229865 1062.294223254968 974.6073785425081
133 3252.007739019204 1062.291141261872 974.5767421589184
134 3251.992115708797 1062.288150483267 974.5470126399639
135 3251.976947534107 1062.285248221942 974.5181632015569
136 3251.962231894052 1062.282431861319 974.4901678368404
137 3251.94796088967 1062.279698861099 974.4630012811265
138 3251.93412182399 1062.277046755699 974.4366389908604
139 3251.920699335257 1062.2744731514 974.4110571327145
140 3251.907677239259 1062.271975724618 974.3862325755377
141 3251.895040421687 1062.269552220037 974.3621428788147
142 3251.882775119504 1062.267200448816 974.3387662759629
143 3251.870869519906 1062.264918287216 974.3160816540448
144 3251.859313133937 1062.262703674422 974.2940685306272
145 3251.848329792495 1062.260554610586 974.2727070326666
146 3251.83739459931 1062.258469156428 974.2519778735881
147 3251.82699775012 1062.25644542804 974.2318623376177
148 3251.816889620682 1062.254481599733 974.212342259646
149 3251.807039696175 1062.252575897996 974.1934000111272
150 3251.797448063577 1062.250726602704 974.1750184845965
151 3251.788116101582 1062.248932043783 974.1571810824784
152 3251.779042793479 1062.247190602391 974.1398716884191
153 3251.770225606927 1062.24550070445 974.1230746708103
154 3251.761660655808 1062.243860825798 974.106774862871
155 3251.753343020591 1062.242269494318 974.0909575272769
156 3251.745271377337 1062.240725236692 974.0756084229851
157 3251.73743733551 1062.239226679644 974.0607136967036
158 3251.72983137456 1062.237772463358 974.0462598898355
159 3251.722445663761 1062.236361282638 974.0322339241404
160 3251.715274578119 1062.234991865581 974.0186231132145
161 3251.708313418671 1062.233662977845 974.0054151700082
162 3251.701557427728 1062.232373420885 973.9925981839036
163 3251.695001498501 1062.231122031549 973.9801605923502
164 3251.688640135474 1062.229907677777 973.9680911234523
165 3251.682469188705 1062.228729274432 973.9563789320139
166 3251.676482471759 1062.227585741433 973.9450134399785
167 3251.670673466658 1062.226476642629 973.9339864310805
168 3251.664916948082 1062.225399204991 973.9232822460643
169 3251.659393251587 1062.224354318011 973.9128961625097
170 3251.654301960038 1062.223340823059 973.9028195664347
171 3251.649052722585 1062.222356240039 973.8930382494693
172 3251.644213406682 1062.221401927864 973.8835492072432
173 3251.639248536081 1062.220474780125 973.8743384910899
174 3251.634686008014 1062.219576123383 973.8654029109294
175 3251.630235670543 1062.218703047678 973.8567295065611
176 3251.625938648456 1062.217856802509 973.8483151214145
177 3251.621695989535 1062.217034645225 973.8401475934461
