"current_file"
"Iteration" "current etc.."
("Iteration" "current" "max_temperature" "min_temperature")
1 0 1180.3 1060.414846284184
2 21467571.43231424 1062.27 954.3733616557658
3 23693175.60494927 971.4581459990146 867.4008075286536
4 17289118.8324325 1043.02412309625 782.3868721026626
5 11675160.13998099 1138.871164970466 704.1484131948991
6 7490899.477784949 1097.717245739493 633.7335718754092
7 4606313.612864831 1085.347796489556 570.3604333977257
8 2637643.209901307 1128.939612522968 516.8985487422057
9 1601411.105555643 1149.64673463502 523.6271725020326
10 1282078.959437514 1153.67036874212 575.989889752236
11 1161071.370216674 1148.534510445615 633.5888787274596
12 1031841.923857073 1140.119197388478 669.5335299624687
13 873018.1513093183 1153.574526195377 736.4868829587157
14 620389.1377451089 1200.329265004366 810.1355712545873
15 420367.3524883457 1238.583358882469 891.149128380046
16 288619.0392058364 1182.152643358401 980.2640412180507
17 203345.9875677945 1168.859966633051 1070.590140478686
18 143570.4913165688 1163.753046383259 1074.975407319991
19 101353.22288455 1141.983360028405 1074.87776961295
20 71521.00995977798 1113.373279669793 1074.380982073675
21 50461.43702110535 1105.668734036202 1073.813994406013
22 35618.58900153761 1095.860459265316 1073.352475923656
23 25185.21114300032 1090.249035705344 1072.845136165115
24 17881.87743580576 1083.150914387228 1070.963147516496
25 12795.44525949691 1075.896994003763 1067.287335830141
26 9280.791607019572 1071.437311753326 1063.549384846683
27 6882.771179879746 1070.989280486949 1059.858291364951
28 5274.075019979534 1070.559837666592 1056.217092882017
29 4249.691024990017 1070.150929889838 1052.659842761913
30 3659.469685939813 1069.761552190205 1049.208726407778
31 3359.386966384056 1069.394641084379 1045.886461677539
32 3246.54239912186 1069.046113971151 1042.69312062523
33 3271.705320612502 1068.712097656698 1039.615495031707
34 3372.368989680651 1068.394832797217 1036.636172892489
35 3453.450099641585 1068.090334000573 1033.745021932363
36 3508.732687449999 1067.798265368228 1030.938997488683
37 3546.295738163789 1067.616339435581 1028.666200583548
38 3571.8016402396 1067.368473415164 1026.452413633006
39 3589.467580264399 1067.155562816136 1024.298671883931
40 3601.786314285926 1066.944177060149 1022.204853036624
41 3610.317845633743 1066.741930621435 1020.172099947054
42 3616.171422170866 1066.54679371973 1018.200746358916
