width_pitch,width_rib_a,width_rib_air,height_anode,height_cathode,height_electrolyte,current,max_temperature,min_temperature,Delta_T
1.8,1.2,0.8,0.46,0.03,0.01,3540.19733957462,1061.3164570911,965.402468545989,95.9139885451109
1.8,1.2,0.8,0.46,0.03,0.014,3394.16572412556,1061.8039835679,969.713204987285,92.0907785806151
1.8,1.2,1,0.36,0.02,0.01,3811.85209387047,1062.98372158226,957.409282991495,105.574438590765
1.8,1.2,1,0.36,0.02,0.014,3638.39542125447,1063.44932385675,962.506525941294,100.942797915456
1.8,1.2,1,0.36,0.025,0.01,3818.7878867498,1062.97062418557,957.214480968196,105.756143217374
1.8,1.2,1,0.36,0.025,0.014,3645.04543818578,1063.4367718553,962.318476519952,101.118295335348
1.8,1.2,1,0.36,0.03,0.01,3823.91593577633,1062.96239688596,957.070029506475,105.892367379485
1.8,1.2,1,0.36,0.03,0.014,3649.95569973038,1063.42893717569,962.179293359431,101.249643816259
1.8,1.2,1,0.41,0.02,0.01,3657.97335258957,1063.39408865871,961.925423142525,101.468665516185
1.8,1.2,1,0.41,0.02,0.014,3499.27402687615,1063.81670024629,966.602158374782,97.2145418715081
1.8,1.2,1,0.41,0.025,0.01,3664.93182785003,1063.38097961475,961.729841639448,101.651137975302
1.8,1.2,1,0.41,0.025,0.014,3505.88554864822,1063.80419061303,966.414394026016,97.389796587014
1.8,1.2,1,0.41,0.03,0.01,3670.06412822842,1063.3726825218,961.58413356579,101.78854895601
1.8,1.2,1,0.41,0.03,0.014,3510.76546341315,1063.79640206989,966.275695367974,97.5207067019161
1.8,1.2,1,0.46,0.02,0.01,3511.45234080935,1063.78191428622,966.23722693026,97.5446873559599
1.8,1.2,1,0.46,0.02,0.014,3366.92320711383,1064.16469719688,970.506955252235,93.6577419446451
1.8,1.2,1,0.46,0.025,0.01,3518.33640848255,1063.7688762122,966.04267604688,97.7262001653199
1.8,1.2,1,0.46,0.025,0.014,3373.44679930057,1064.15233060663,970.321301664324,93.8310289423059
1.8,1.2,1,0.46,0.03,0.01,3523.41246013137,1063.76064397159,965.898086092505,97.8625578790851
1.8,1.2,1,0.46,0.03,0.014,3378.26258248747,1064.14467501438,970.184733773162,93.9599412412181
1.8,1.2,1.2,0.36,0.02,0.01,3773.68789805364,1064.82341234076,958.449068150344,106.374344190416
1.8,1.2,1.2,0.36,0.02,0.014,3601.88728100805,1065.20418835803,963.508734858028,101.695453500002
1.8,1.2,1.2,0.36,0.025,0.01,3784.23568151848,1064.80388865444,958.16107434796,106.64281430648
1.8,1.2,1.2,0.36,0.025,0.014,3612.02032880049,1065.18547930867,963.230437346491,101.955041962179
1.8,1.2,1.2,0.36,0.03,0.01,3792.34203489608,1064.78929763175,957.939332207084,106.849965424666
1.8,1.2,1.2,0.36,0.03,0.014,3619.79037137564,1065.17150202309,963.016093177024,102.155408846066
1.8,1.2,1.2,0.41,0.02,0.01,3620.1035898208,1065.16192548748,962.964505832257,102.197419655223
1.8,1.2,1.2,0.41,0.02,0.014,3463.30922975809,1065.50695313371,967.596270127575,97.9106830061351
1.8,1.2,1.2,0.41,0.025,0.01,3630.6822547185,1065.1424299281,962.674901285307,102.467528642793
1.8,1.2,1.2,0.41,0.025,0.014,3473.38777316434,1065.48828187023,967.317159668865,98.1711222013649
1.8,1.2,1.2,0.41,0.03,0.01,3638.79828364093,1065.1278396986,962.451518997301,102.676320701299
1.8,1.2,1.2,0.41,0.03,0.014,3481.11383291803,1065.47438905121,967.102971591113,98.371417460097
1.8,1.2,1.2,0.46,0.02,0.01,3474.27999855406,1065.48106025482,967.264216545048,98.216843709772
1.8,1.2,1.2,0.46,0.02,0.014,3331.7228067637,1065.79313732792,971.485714647882,94.307422680038
